Site,Samples,RMSE,MAE,MAPE (%),R2
3662,488,0.073232,0.058495,20.2722,0.874053
5814,488,0.07327,0.048859,32.7011,0.857111
5142,488,0.073318,0.050885,24.8647,0.893084
3999,488,0.073335,0.055319,24.2701,0.88694
3714,488,0.073346,0.053306,28.1516,0.914667
3404,488,0.073367,0.05419,23.6838,0.786859
2743,488,0.073376,0.05047,24.6252,0.895589
3982,488,0.073491,0.05801,25.755,0.884345
4106,488,0.073496,0.05171,35.885,0.815934
1515,488,0.073519,0.052151,27.0304,0.913668
4729,488,0.073527,0.052911,23.4726,0.913769
3653,488,0.073555,0.053084,26.3296,0.909869
3725,488,0.073586,0.052452,22.781,0.909411
3354,488,0.07361,0.05302,26.3041,0.916239
522,488,0.073656,0.057724,21.7178,0.893222
3539,488,0.073659,0.055476,30.9076,0.910654
500,488,0.073664,0.055834,21.2417,0.89975
3030,488,0.073695,0.053681,25.7132,0.918931
6403,488,0.073728,0.053557,23.1536,0.88893
6152,488,0.07374,0.053948,23.1456,0.919492
1559,488,0.073763,0.051703,28.4294,0.913563
2643,488,0.07379,0.050428,30.1876,0.91221
6267,488,0.073899,0.044656,33.6591,0.868587
1140,488,0.073915,0.05211,28.7041,0.910425
4425,488,0.073928,0.05154,35.6258,0.861954
2473,488,0.073936,0.052419,21.651,0.874227
1526,488,0.073939,0.051636,25.0582,0.888085
247,488,0.073952,0.060934,24.5337,0.878135
5186,488,0.073969,0.051755,33.7311,0.923708
32079,488,0.073978,0.050484,25.0948,0.837989
3334,488,0.07398,0.053994,26.5692,0.918545
4898,488,0.073982,0.051828,25.6393,0.894657
5453,488,0.073994,0.052705,27.0764,0.903382
592,488,0.073995,0.056787,19.8122,0.916819
449,488,0.074024,0.054791,23.771,0.911441
1725,488,0.07405,0.053011,23.4297,0.895495
155,488,0.074064,0.053408,27.097,0.923517
274,488,0.074068,0.053497,24.6621,0.91843
187,488,0.074068,0.05135,23.5645,0.911205
1246,488,0.074101,0.057912,22.3492,0.889054
1324,488,0.074124,0.053863,20.6144,0.893099
250,488,0.074131,0.05114,30.6891,0.891045
4457,488,0.074154,0.058685,21.7411,0.865636
3873,488,0.074158,0.051537,22.8205,0.897856
4055,488,0.07417,0.055288,22.5464,0.905482
2080,488,0.074193,0.048959,27.7466,0.820115
4407,488,0.074197,0.053645,25.8222,0.816122
245,488,0.074202,0.050249,32.1991,0.928937
1243,488,0.074221,0.057696,21.2245,0.893395
383,488,0.074222,0.050433,36.1151,0.899401
6308,488,0.074227,0.051024,34.5982,0.918853
1958,488,0.074228,0.050305,35.0617,0.877465
460,488,0.074232,0.052929,28.442,0.906085
6071,488,0.074258,0.050888,26.7517,0.91571
469,488,0.074272,0.052136,29.7972,0.899656
822,488,0.074278,0.048035,23.7921,0.898065
2341,488,0.074359,0.047902,32.3263,0.814783
4285,488,0.074362,0.057203,20.74,0.897683
2284,488,0.07437,0.054169,21.5623,0.847648
6218,488,0.074371,0.051816,24.4952,0.908203
2168,488,0.074376,0.058462,23.9978,0.91373
230,488,0.074412,0.055522,21.7848,0.917277
6338,488,0.07444,0.05574,21.4648,0.901934
32025,488,0.074449,0.052148,21.7814,0.880365
2373,488,0.074458,0.048215,26.0108,0.918442
1298,488,0.07447,0.052922,24.2544,0.893394
1714,488,0.074474,0.053999,22.6131,0.898929
2984,488,0.07451,0.053703,21.5707,0.810749
796,488,0.074512,0.055445,21.344,0.915089
4501,488,0.074513,0.057547,22.0573,0.882634
1146,488,0.074524,0.053872,22.4212,0.897502
4542,488,0.074529,0.057665,21.3971,0.891682
545,488,0.074545,0.05058,27.2824,0.90238
857,488,0.07455,0.055624,21.0563,0.916978
6819,488,0.074555,0.051494,22.7506,0.910433
6822,488,0.074572,0.056275,23.0452,0.912449
3641,488,0.074578,0.054159,23.857,0.914373
1939,488,0.074591,0.053527,27.2649,0.906107
1381,488,0.074592,0.052144,23.0264,0.892802
5350,488,0.074596,0.057821,22.5913,0.911705
228,488,0.074654,0.054465,23.174,0.916646
5232,488,0.074687,0.050754,32.4327,0.915006
3963,488,0.074719,0.053162,22.724,0.917164
4767,488,0.074724,0.053426,26.5285,0.871144
3168,488,0.074726,0.059362,20.2873,0.897261
526,488,0.074746,0.053488,23.1861,0.919397
4990,488,0.074747,0.058162,21.1056,0.902921
488,488,0.074747,0.055012,22.2475,0.917382
5035,488,0.074757,0.0572,22.9155,0.908582
679,488,0.074763,0.053545,26.9572,0.888256
1258,488,0.074791,0.0543,25.1034,0.89967
3868,488,0.074814,0.063016,20.2224,0.848613
3036,488,0.074824,0.054607,26.6048,0.912264
745,488,0.074825,0.056114,20.9861,0.909795
3167,488,0.074863,0.049654,24.6793,0.874347
227,488,0.074876,0.054156,27.6702,0.91841
5425,488,0.074919,0.05366,29.7001,0.925201
5975,488,0.074994,0.053845,25.6887,0.912624
446,488,0.07501,0.051684,22.9989,0.909731
233,488,0.075049,0.056455,20.9584,0.914067
3301,488,0.075059,0.057431,21.5658,0.90287
1986,488,0.075086,0.05645,22.6336,0.899322
378,488,0.075099,0.057217,21.0114,0.914904
4825,488,0.075103,0.052358,26.1801,0.903278
2686,488,0.075106,0.054196,23.0817,0.911889
1987,488,0.075107,0.055226,22.1371,0.87506
1435,488,0.075127,0.050708,30.675,0.892263
