Site,Samples,RMSE,MAE,MAPE (%),R2
6144,488,0.098477,0.077538,242.8452,0.754575
5872,488,0.098486,0.080667,462.5071,0.756819
1067,488,0.098516,0.07809,131.8441,0.791402
4788,488,0.098518,0.084378,115.0522,0.823637
3300,488,0.09852,0.078607,80.9531,0.821578
702,488,0.098537,0.084723,103.0592,0.823561
6142,488,0.098544,0.081873,382.792,0.801477
5207,488,0.09856,0.085118,174.2107,0.820783
954,488,0.098605,0.079458,166.4118,0.774014
5007,488,0.098651,0.085682,68.7678,0.813666
4898,488,0.098656,0.080241,174.4342,0.812671
4343,488,0.098709,0.071531,256.6054,0.613272
32082,488,0.098729,0.079316,149.8247,0.816632
1449,488,0.098798,0.086237,417.5999,0.800262
4227,488,0.098816,0.081703,243.1411,0.797874
3330,488,0.098846,0.085067,128.517,0.827577
5852,488,0.098861,0.077784,212.6286,0.767368
5481,488,0.098956,0.087674,350.2477,0.806388
2266,488,0.098956,0.076372,115.5115,0.681037
1467,488,0.09896,0.079234,105.1125,0.805605
1869,488,0.098973,0.077457,53.3946,0.79782
4511,488,0.098999,0.076279,35.9056,0.72778
357,488,0.099021,0.080984,214.1819,0.726052
1444,488,0.099047,0.081398,552.8122,0.793779
190,488,0.099061,0.079802,64.5956,0.831023
3403,488,0.099083,0.081705,54.1941,0.784364
32055,488,0.099089,0.075828,41.711,0.792377
4903,488,0.099096,0.084036,196.6155,0.821345
4883,488,0.09911,0.083071,27.5843,0.772075
5810,488,0.09911,0.08613,99.2229,0.815783
568,488,0.099138,0.078519,194.3707,0.819435
4922,488,0.099138,0.079447,73.1064,0.752797
1034,488,0.099143,0.080288,48.7252,0.770826
1784,488,0.099146,0.075048,108.8051,0.794849
3366,488,0.09916,0.081032,120.2516,0.672144
5142,488,0.099182,0.080755,292.0707,0.804344
4823,488,0.099197,0.076702,265.3544,0.64797
2863,488,0.0992,0.080629,191.6233,0.823874
5873,488,0.0992,0.082591,229.5817,0.810796
3897,488,0.099262,0.086609,159.1927,0.823254
32249,488,0.099267,0.076747,157.5361,0.830196
32026,488,0.099286,0.080703,198.3386,0.811856
3168,488,0.099291,0.083303,86.3243,0.81861
4449,488,0.099326,0.082873,167.8162,0.812175
2857,488,0.099351,0.076158,20.1529,0.70031
2743,488,0.099357,0.082837,259.037,0.808557
2117,488,0.099374,0.08167,332.0296,0.810728
5389,488,0.099377,0.080469,37.573,0.724569
4570,488,0.099417,0.072586,129.0334,0.596697
1565,488,0.099502,0.079229,139.2615,0.816145
4452,488,0.099519,0.087772,286.1405,0.55033
5870,488,0.099587,0.080687,170.9383,0.805012
2037,488,0.099601,0.084035,177.8071,0.807967
5089,488,0.099626,0.084223,275.3173,0.767588
5335,488,0.099635,0.088865,158.0519,0.819163
3466,488,0.099732,0.082201,76.8079,0.812889
988,488,0.099787,0.088992,563.2069,0.785165
1958,488,0.099832,0.083701,310.6004,0.778352
1714,488,0.099887,0.080893,188.8859,0.81818
1505,488,0.099894,0.080418,84.4283,0.827192
3184,488,0.099933,0.078834,263.0382,0.770428
1213,488,0.100007,0.078415,105.7539,0.825868
3435,488,0.100029,0.082711,123.0931,0.818073
3894,488,0.100038,0.082533,170.4807,0.779786
4285,488,0.100069,0.084611,109.6105,0.814716
263,488,0.100074,0.082442,209.4033,0.818881
32073,488,0.100082,0.08238,217.432,0.809718
1487,488,0.100117,0.084005,484.6888,0.815858
2693,488,0.100135,0.083433,168.5776,0.800391
3305,488,0.100311,0.084622,114.9522,0.825272
1297,488,0.100317,0.083515,128.1298,0.820477
6679,488,0.100331,0.088657,191.5794,0.813248
2647,488,0.100336,0.081811,109.7423,0.769341
4852,488,0.100375,0.085328,142.3399,0.787911
3329,488,0.100401,0.079738,151.9513,0.755081
3320,488,0.100403,0.080836,36.7152,0.774037
2364,488,0.100443,0.080909,131.0916,0.786668
178,488,0.10045,0.084283,310.8642,0.80088
596,488,0.100492,0.083291,204.5151,0.828063
1510,488,0.100513,0.07974,130.9448,0.813385
822,488,0.100534,0.081451,251.7221,0.813263
4333,488,0.10056,0.080394,176.1383,0.817072
4911,488,0.100602,0.083974,243.5974,0.798415
2045,488,0.100637,0.082879,58.3233,0.801894
5140,488,0.100646,0.088256,423.2237,0.760284
5097,488,0.100666,0.084253,230.9036,0.772988
5003,488,0.10069,0.0819,51.9324,0.810859
3152,488,0.100715,0.08263,129.0894,0.81136
1524,488,0.100754,0.081961,110.0858,0.815264
1406,488,0.100802,0.083308,72.6008,0.792313
1146,488,0.100854,0.083748,240.3426,0.812283
3301,488,0.100858,0.082733,144.7428,0.824626
3907,488,0.100881,0.083005,173.0947,0.764304
3768,488,0.100885,0.07891,284.7831,0.761303
1464,488,0.100928,0.083985,134.3038,0.828061
2769,488,0.100943,0.084716,133.5851,0.822101
32044,488,0.100963,0.080384,225.3483,0.811119
3827,488,0.100964,0.086974,335.4658,0.819777
1258,488,0.100968,0.084052,190.1871,0.81715
2367,488,0.100969,0.0822,343.4637,0.667519
5395,488,0.101004,0.082877,227.3237,0.792055
5846,488,0.101048,0.085497,619.5598,0.737618
6338,488,0.101059,0.085192,120.0378,0.819257
4717,488,0.101138,0.082132,134.4221,0.833389
